date,status,campaign,pillar,platforms,format,asset_id,working_title,hook,source_clip,creative_brief,caption_draft,cta,landing_page,utm_campaign,owner,reviewer,approval_due,publish_time_pt,scheduler,post_url,24h_metrics,7d_metrics,notes
2026-07-20,Platform account setup + native preview required,Beta Proof,Handwritten To Structured Chart,"Instagram Reels; TikTok",Vertical video,SM-001,Handwrite Clean Gig Charts,"One chart. Versions for the players.","vX primary; vAA alternate","Complete TikTok/Instagram account setup first, then use vX portrait-native master as primary; vAA horizontal-source alternate. Cover candidates copied to assets/sm-001-funk-groove/publish.","TikTok: Paper charts are fast until the whole band needs versions. Instagram: Handwrite a clean chart, make chart versions, export PDFs, and keep it for future edits.","Follow for iPad testing updates",https://useichart.com,sm001_funk_groove,TBD,TBD,2026-07-20,09:00,"Manual TikTok + Instagram native after account setup",,,,Account setup: docs/marketing/social-media/platform-account-setup-checklist.md; publish packet: docs/marketing/social-media/publish-packet-sm-001-funk-groove.md; verify landing URL before posting.
2026-07-22,vJ candidate ready; account setup + native preview required,Beta Proof,Real Rehearsal Utility,"Instagram Reels; TikTok; Instagram Stories",Vertical video + Story poll,SM-002,Wedding Gig Key Changes,"Singer moved it to F","sm-002 vJ SM-001-style lifted candidate","Complete TikTok/Instagram account setup first, then use vJ SM-001-style lifted edition to publish the Wedding Set workflow: project context; duplicate First Dance in C; rename First Dance in F; visible transpose up P4; replace old project chart; open new F chart; fade blend into logo/details end card.","TikTok: Wedding and corporate gigs always find a way to change keys. Instagram: Last-minute key change? Keep the chart.","Follow for iPad testing updates",https://useichart.com,sm002_wedding_key_changes,Beni,TBD,2026-07-20,12:00,"Manual TikTok + Instagram native after account setup",,,,Account setup: docs/marketing/social-media/platform-account-setup-checklist.md; Edition: assets/sm-002-wedding-key-changes/editions/sm-002-vertical-edition-vJ-sm001-style-lifted-01.mp4; full-size alternate: assets/sm-002-wedding-key-changes/editions/sm-002-vertical-edition-vI-sm001-style-outro-01.mp4; strict platform-safe fallback: assets/sm-002-wedding-key-changes/editions/sm-002-vertical-edition-vH-platform-safe-no-headers-01.mp4; previous platform-safe alternate: assets/sm-002-wedding-key-changes/editions/sm-002-vertical-edition-vG-platform-safe-01.mp4; larger visual alternate: assets/sm-002-wedding-key-changes/editions/sm-002-vertical-edition-vF-captioned-noise-reduced-01.mp4; publish packet: docs/marketing/social-media/publish-packet-sm-002-wedding-key-changes.md; TikTok cover: assets/sm-002-wedding-key-changes/publish/sm-002-cover-vJ-transpose-menu-26s.png; IG cover: assets/sm-002-wedding-key-changes/publish/sm-002-cover-vJ-final-chart-45s.png.
2026-07-24,Idea,Product Education,Beat-Aware Chord Placement,"Instagram Carousel; LinkedIn; Apple Marketing",Carousel + screenshot copy,SM-003,Why Beat Placement Matters,"Chord charts are not just chord names. Placement matters.",TBD,Explain beat-aware chord placement without promising full notation and test whether this becomes App Store screenshot copy.,TBD,Join beta updates,https://useichart.com,ichart_product_education,TBD,TBD,2026-07-22,08:30,TBD,,,,Use screenshots plus one simple diagram.
2026-07-27,Idea,Trust And Pricing,Pro Trust Layer,"Instagram Carousel; Facebook; Threads; Apple Marketing",Carousel + custom product page note,SM-004,Basic Is Real Local Writing,"Basic should let musicians feel the tool before paying.",TBD,Explain Basic local chart writing/export and Pro cloud/community services; adapt as App Store promo/custom product page copy only if policy wording is exact.,TBD,Read launch notes,https://useichart.com,ichart_trust,TBD,TBD,2026-07-25,10:00,TBD,,,,Match monetization strategy exactly.
2026-08-04,Published 2026-08-04; live App Store URL verified,Public Launch,Launch Reveal,"Instagram Reels; TikTok; Instagram Stories",Vertical video,SM-001,Handwrite Clean Gig Charts,"One chart. Versions for the players.","vX primary; vAA alternate","Use vX portrait-native master as the reveal post. Publish Instagram first, then TikTok 10 minutes later so comments can be watched without splitting attention.","TikTok: Paper charts are fast until the whole band needs versions. Instagram: Handwrite a clean chart, make chart versions, export PDFs, and keep it for future edits. Available now for iPad.","Download iChart on the App Store at useichart.com.",https://useichart.com,sm001_funk_groove,Beni,TBD,2026-08-04,"15:05 IG / 15:21 TikTok","Manual native publish completed 2026-08-04","Instagram: https://www.instagram.com/useichart/reel/DbondfrvMZW/; TikTok: https://www.tiktok.com/@useichart/video/7670304999137709342",,,App Store: https://apps.apple.com/us/app/ichart-quick-notation-charts/id6782173484; monitor comments and save useful musician language.
2026-08-06,Completed 2026-08-06,Public Launch,Launch Monitoring,"Instagram; TikTok",Analytics + community pass,SM-001-24H,Launch Post 24h Check,"What did musicians actually respond to?","SM-001 live posts","Capture 24h metrics for SM-001, check comments/DMs/follows, and avoid new outbound work until the metrics are logged.",N/A,N/A,https://useichart.com,sm001_launch_retro,Beni,Beni,2026-08-06,"09:15","Manual native analytics capture",,docs/marketing/social-media/social-launch-metrics-2026-08-06.md,,"Captured Instagram Reel and TikTok launch metrics; logged comments, profile activity, follows, and TikTok caveats before continuing outbound work."
2026-08-06,Instagram published 2026-08-06; TikTok deferred pending mobile upload,Public Launch,Real Rehearsal Utility,"Instagram Reels; TikTok; Instagram Stories",Vertical video + Story poll,SM-002,Wedding Gig Key Changes,"Singer moved it to F","sm-002 vJ SM-001-style lifted candidate","Use the Wedding Set workflow as the first post-launch use-case proof: duplicate the original chart, transpose the copy, and keep the new key with the set.","TikTok: Wedding and corporate gigs always find a way to change keys at the last minute. iChart lets you keep the original chart, duplicate it, transpose the copy, and store the new key with the set. Available now for iPad. Instagram: Last-minute key change? Keep the chart.","Download iChart on the App Store at useichart.com.",https://useichart.com,sm002_wedding_key_changes,Beni,Beni,2026-08-06,"IG published 2026-08-06; TikTok deferred","Manual native preview + publish",,,,"Use docs/marketing/social-media/publish-packet-sm-002-wedding-key-changes.md; Instagram published after user confirmation; TikTok Studio twice showed Video published but no Studio row or public profile post appeared, and user confirmed mobile showed nothing. Use mobile upload later if needed. Next: add Instagram Story poll support, then resume curated discovery."
2026-08-06,Published 2026-08-06,Public Launch,Founder Intro,Threads,Text thread,TH-001,First Threads Intro,"Why iChart exists",N/A,"Founder introduction for the new Threads account: gigging musician plus software engineer context, paper-chart pain, and simple iChart mission.","Hi! I’m Beni, a full-time gigging musician and software engineer. I built iChart because, in my experience, paper charts are still one of the fastest ways musicians get ideas and gig charts down. The problem is that they’re hard to edit, transpose, copy, and keep organized. The goal was simple: keep the speed of handwriting, but make the chart editable and reusable. Check out iChart now on the App Store. For iPad + Apple Pencil: useichart.com","Check out iChart now on the App Store.",https://useichart.com,threads_founder_intro,Beni,Beni,2026-08-06,"11:47","Manual native publish","https://www.threads.com/@useichart/post/DbtZHd3j4QJ",,,"First Threads post published after user approval; edited within the post-edit window to add the `Music Threads` topic tag; next Threads action is curated discovery with approval before follows/replies."
2026-08-07,Planned,Community Proof,Forum Feature,"Instagram Carousel or Reel; TikTok",Brief + asset prep,SM-003,Quick Charts Can Save The Gig,"When someone calls a tune you do not know","SL-026 Philip Conrad thread + forum screenshots","Turn the best social-listening insight into a forum/community-library content brief: iReal Pro is useful when the tune exists there; iChart forums point toward finding and sharing working charts.",Draft only,Download on the App Store,https://useichart.com,sm003_forum_quick_chart,Beni,TBD,2026-08-07,"10:30 prep / no publish unless approved","Workshop + asset QA",,,,"Use real app/forum screenshots only; avoid implying copyrighted chart distribution or automatic import; decide whether this becomes a carousel, Reel, or website FAQ."
2026-08-08,Planned,Community Growth,Curated Follow Watchlist,"Instagram; TikTok",Prospecting pass,AF-009-025,25 Account Watchlist,"Follow the musicians we are actually building for",N/A,"Profile-check and queue 17 more aligned accounts across wedding/corporate bandleaders, MDs, horn players, teachers, and iPad chart users. Follow only the strongest 5-10 after review.",N/A,N/A,https://useichart.com,account_graph_week_1,Beni,TBD,2026-08-08,"10:30","Manual profile checks",,,,Keep follows slow and contextual; do not ask for follow-backs; prefer accounts with chart/set/teaching evidence.
